,Shared topic 1,Shared topic 2,Shared topic 9,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 4,Proteomics private topic 4
19_52,0.119646184,0.053781908,0.09341304,0.28107208,0.01993368,0.030391067,0.40176207
89_35,0.16293973,0.06740582,0.07362617,0.367382,0.03885022,0.054295752,0.23550026
106_24,0.08741318,0.059767757,0.34915835,0.056945,0.23025136,0.11826652,0.09819787
95_13,0.19573683,0.082482114,0.097997345,0.32266402,0.03843445,0.03917464,0.22351058
91_21,0.17535831,0.121174596,0.068137795,0.26236886,0.09174669,0.11759916,0.16361457
44_51,0.16839218,0.05325713,0.11684866,0.02397818,0.3174768,0.25687602,0.063171096
111_55,0.16788426,0.08633719,0.1489413,0.41168395,0.0395414,0.045056973,0.10055487
104_38,0.047371894,0.5940625,0.03348588,0.20638783,0.03291519,0.035677925,0.05009872
15_41,0.124200374,0.037914954,0.113951005,0.020156544,0.34129578,0.28995347,0.072527915
61_7,0.09434891,0.05124286,0.12610489,0.022491327,0.36400455,0.24908935,0.0927181
77_28,0.12310754,0.14517419,0.12240724,0.3268724,0.06458851,0.074091636,0.14375849
83_45,0.098625325,0.14303218,0.082667544,0.5469118,0.045284905,0.054790635,0.028687721
70_44,0.31728038,0.066001035,0.082291976,0.29251975,0.068648174,0.08822511,0.08503359
120_61,0.06719619,0.08287934,0.10415891,0.030084206,0.30009684,0.32243434,0.09315018
92_17,0.10727852,0.10415992,0.054680772,0.1893584,0.088236205,0.09091302,0.36537316
63_9,0.19959646,0.07181078,0.15095313,0.06911277,0.25586855,0.13259822,0.120060086
81_40,0.14858945,0.058300193,0.119932935,0.318925,0.045008678,0.07336851,0.23587528
42_24,0.22315991,0.05943416,0.18461585,0.3320733,0.041207567,0.043994796,0.11551439
54_30,0.028341493,0.609728,0.09406595,0.082134925,0.0766992,0.070957065,0.038073327
82_38,0.15662624,0.078725524,0.120150544,0.44369507,0.035032086,0.042829327,0.12294121
82_32,0.08776642,0.04451531,0.22645614,0.27330872,0.04099417,0.05268911,0.2742701
123_61,0.20213296,0.047119122,0.11240411,0.036356885,0.28027788,0.18699396,0.13471512
