,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 1,Transcriptomics private topic 2,Transcriptomics private topic 3,Transcriptomics private topic 4,Transcriptomics private topic 5,Metabolomics private topic 1,Metabolomics private topic 2,Metabolomics private topic 3,Metabolomics private topic 4,Metabolomics private topic 5
76,0.05247001,0.05281098,0.0349582,0.2494875,0.07072054,0.024257086,0.055979453,0.03691466,0.027270606,0.02428828,0.020828474,0.09051043,0.026243623,0.047843587,0.02057254,0.032027844,0.08428509,0.023487832,0.025043217
77,0.024003657,0.042823076,0.03797658,0.16654682,0.042294506,0.054847006,0.015646188,0.057240855,0.035084363,0.036044158,0.024027225,0.100453675,0.032850582,0.05984873,0.021874027,0.03043682,0.1761535,0.021960145,0.019888058
78,0.04154994,0.07056841,0.029397255,0.20241095,0.022684446,0.017668728,0.022492401,0.054543775,0.019030608,0.055339545,0.04259244,0.05669871,0.02428144,0.026852055,0.017069623,0.036939707,0.21489342,0.024317011,0.020669429
79,0.022830581,0.08266704,0.038545534,0.092875324,0.058868613,0.039697908,0.026309459,0.034017496,0.03384536,0.045734875,0.040652156,0.066753715,0.022396557,0.023604523,0.017341517,0.043721236,0.2629982,0.02442838,0.022711525
80,0.036214612,0.057382666,0.043613575,0.08976802,0.113835156,0.056999,0.033487976,0.04041132,0.03880151,0.030080372,0.03210567,0.0764509,0.018830229,0.021313116,0.021906486,0.038089976,0.202051,0.023217931,0.025440497
81,0.04963653,0.032194156,0.07528446,0.07508633,0.14432764,0.042773057,0.0328868,0.04038651,0.06907932,0.029991217,0.031866107,0.06820783,0.021456508,0.03433733,0.04300319,0.037958626,0.11951346,0.028589876,0.023421042
82,0.026350675,0.048305664,0.03170487,0.18453881,0.053308815,0.028395375,0.021456003,0.044656914,0.039357167,0.025131296,0.026447624,0.03878491,0.031287707,0.19221263,0.03111919,0.027602708,0.10164473,0.027253153,0.020441774
83,0.029014174,0.12050432,0.034440007,0.13174987,0.024798686,0.023247961,0.035600763,0.012118071,0.050714687,0.025717445,0.028131587,0.052471258,0.03640912,0.19406281,0.02295381,0.036130175,0.10535213,0.019191325,0.01739172
84,0.013451892,0.23035389,0.018873803,0.13609715,0.021027181,0.02267096,0.03262961,0.017638253,0.037992623,0.025554905,0.030283667,0.09292365,0.047206566,0.1875337,0.015516243,0.02061579,0.021510648,0.014976439,0.013143046
85,0.007865698,0.23853983,0.013875833,0.13494273,0.042527024,0.0187931,0.021202952,0.026215687,0.025807511,0.02631378,0.031184085,0.09569113,0.048610345,0.19310491,0.018252715,0.021181528,0.010964967,0.010946689,0.013979441
86,0.042267323,0.033542998,0.030460091,0.27640682,0.044537406,0.036715515,0.052080967,0.022638224,0.021291016,0.098347194,0.07946859,0.05613149,0.053473346,0.057827055,0.013542104,0.026290428,0.008118071,0.013173226,0.033688165
