Shared topic 2,Shared topic 3,Shared topic 6,Omics 1 private topic 3,Omics 1 private topic 6,Omics 1 private topic 10,Omics 2 private topic 2,Omics 2 private topic 4,Omics 2 private topic 5
-0.33583108,0.14983568,0.13344547,-0.34844026,-0.5327355,1.581388,-0.21622983,-0.20215926,-0.06753302
-0.22853951,-0.08393744,0.14592654,-0.2671674,-0.31418154,0.17131037,-0.033068366,-0.23038486,-0.36990696
-0.1773862,-0.08266011,-0.14467399,-0.11463508,-0.3021439,-0.13427182,-0.23593235,-0.27160516,-0.019085046
-0.28194356,-0.09756775,-0.06164771,-0.3700975,-0.58262104,3.32086,-0.14940555,-0.2356292,-0.35853922
-0.3784051,-0.07387158,0.36047825,-0.41927442,-0.622282,3.122844,-0.21845478,-0.20685704,-0.23994252
-0.33025706,-0.13552713,-0.27025303,-0.28522405,-0.25031033,0.103173435,3.624395,-0.3653742,-0.36707333
-0.31351036,-0.1809199,-0.23070623,-0.81963897,5.090632,-2.2493603,0.26193506,-0.079419896,-0.13536783
3.406062,-0.16663578,-0.41180527,-0.24238463,0.11978398,-0.23459391,-0.48768264,-0.5451142,-0.38745192
-0.5461092,-0.040159374,3.2585735,-0.20679703,0.05045297,-0.19242889,-0.11795592,-0.17904875,-0.042448636
-0.07317347,-0.0722291,-0.022421557,-0.3081251,-0.2081988,-0.12804309,-0.6670357,3.0743852,-0.34678134
-0.09908006,-0.46297196,3.2743242,-0.28337783,-0.23982608,0.2036738,-0.07319961,-0.2514933,-0.24327935
-0.18050341,-0.10307484,-0.030089643,-0.8797013,5.229878,-2.3230553,-0.12221848,-0.34700257,-0.13100018
-0.34802687,3.2475402,-0.040783577,-0.18907511,-0.20728868,0.3238292,-0.31334054,-0.3933422,-0.22288533
-0.22480896,-0.18915012,0.040682994,0.25630322,0.9622095,-0.14021896,0.09357703,-0.40718603,-0.14432573
-0.35001895,-0.24394454,2.4822025,-0.25272617,-0.22550912,0.123355374,-0.017249709,-0.26073742,0.16575411
-0.07641393,2.0236163,0.121839166,-0.22430412,-0.17766157,0.35002607,-0.35931677,-0.39411998,-0.4560652
